TCM_symptom_id,Syndrome_id
SMTS01837,SMSY00016
SMTS01846,SMSY00016
SMTS01853,SMSY00016
SMTS01854,SMSY00016
SMTS01855,SMSY00016
SMTS01856,SMSY00016
SMTS01857,SMSY00016
SMTS01860,SMSY00016
SMTS01872,SMSY00016
SMTS01877,SMSY00016
SMTS01930,SMSY00016
SMTS01956,SMSY00016
SMTS01974,SMSY00016
SMTS01985,SMSY00016
SMTS01988,SMSY00016
SMTS01990,SMSY00016
SMTS02001,SMSY00016
SMTS02002,SMSY00016
SMTS02033,SMSY00016
SMTS02034,SMSY00016
SMTS02037,SMSY00016
SMTS02038,SMSY00016
SMTS02039,SMSY00016
SMTS02044,SMSY00016
SMTS02045,SMSY00016
SMTS02050,SMSY00016
SMTS02051,SMSY00016
SMTS02056,SMSY00016
SMTS02060,SMSY00016
SMTS02122,SMSY00016
SMTS02156,SMSY00016
SMTS02157,SMSY00016
SMTS02159,SMSY00016
SMTS02177,SMSY00016
SMTS02208,SMSY00016
SMTS02217,SMSY00016
SMTS02245,SMSY00016
SMTS02255,SMSY00016
SMTS02267,SMSY00016
SMTS02277,SMSY00016
SMTS02357,SMSY00016
SMTS02358,SMSY00016
SMTS02360,SMSY00016
SMTS01837,SMSY00017
SMTS00003,SMSY00018
SMTS00004,SMSY00018
SMTS00341,SMSY00018
SMTS00385,SMSY00018
SMTS00386,SMSY00018
SMTS00472,SMSY00018
SMTS00473,SMSY00018
SMTS00474,SMSY00018
SMTS00476,SMSY00018
SMTS00477,SMSY00018
SMTS00480,SMSY00018
SMTS00481,SMSY00018
SMTS00483,SMSY00018
SMTS00493,SMSY00018
SMTS01110,SMSY00018
SMTS01116,SMSY00018
SMTS01618,SMSY00018
SMTS01621,SMSY00018
SMTS01838,SMSY00018
SMTS02085,SMSY00018
SMTS00091,SMSY00019
SMTS00092,SMSY00019
SMTS00282,SMSY00019
SMTS00288,SMSY00019
SMTS00289,SMSY00019
SMTS00292,SMSY00019
SMTS00294,SMSY00019
SMTS00376,SMSY00019
SMTS00675,SMSY00019
SMTS00889,SMSY00019
SMTS00890,SMSY00019
SMTS00891,SMSY00019
SMTS00964,SMSY00019
SMTS01016,SMSY00019
SMTS01017,SMSY00019
SMTS01031,SMSY00019
SMTS01151,SMSY00019
SMTS01171,SMSY00019
SMTS01174,SMSY00019
SMTS01175,SMSY00019
SMTS01214,SMSY00019
SMTS01215,SMSY00019
SMTS01296,SMSY00019
SMTS01297,SMSY00019
SMTS01301,SMSY00019
SMTS01330,SMSY00019
SMTS01368,SMSY00019
SMTS01528,SMSY00019
SMTS01539,SMSY00019
SMTS01842,SMSY00019
SMTS01887,SMSY00019
SMTS02183,SMSY00019
SMTS02184,SMSY00019
SMTS02212,SMSY00019
SMTS02214,SMSY00019
SMTS02225,SMSY00019
SMTS02241,SMSY00019
SMTS02309,SMSY00019
SMTS00019,SMSY00020
SMTS00037,SMSY00020
SMTS00038,SMSY00020
SMTS00039,SMSY00020
SMTS00040,SMSY00020
SMTS00357,SMSY00020
SMTS00359,SMSY00020
SMTS00360,SMSY00020
SMTS00361,SMSY00020
SMTS00364,SMSY00020
SMTS00371,SMSY00020
SMTS00377,SMSY00020
SMTS00379,SMSY00020
SMTS00449,SMSY00020
SMTS00450,SMSY00020
SMTS00611,SMSY00020
SMTS01043,SMSY00020
SMTS01170,SMSY00020
SMTS01191,SMSY00020
SMTS01247,SMSY00020
SMTS01358,SMSY00020
SMTS01637,SMSY00020
SMTS01712,SMSY00020
SMTS01776,SMSY00020
SMTS01839,SMSY00020
SMTS01840,SMSY00020
SMTS01843,SMSY00020
SMTS02061,SMSY00020
SMTS00019,SMSY00021
SMTS00037,SMSY00021
SMTS00038,SMSY00021
SMTS00039,SMSY00021
SMTS00040,SMSY00021
SMTS00359,SMSY00021
SMTS00360,SMSY00021
SMTS00361,SMSY00021
SMTS00364,SMSY00021
SMTS00371,SMSY00021
SMTS00377,SMSY00021
SMTS00379,SMSY00021
SMTS00449,SMSY00021
SMTS00450,SMSY00021
SMTS00521,SMSY00021
SMTS00522,SMSY00021
SMTS00611,SMSY00021
SMTS00968,SMSY00021
SMTS01043,SMSY00021
SMTS01056,SMSY00021
SMTS01135,SMSY00021
SMTS01156,SMSY00021
SMTS01170,SMSY00021
SMTS01191,SMSY00021
SMTS01204,SMSY00021
SMTS01205,SMSY00021
SMTS01247,SMSY00021
SMTS01248,SMSY00021
SMTS01254,SMSY00021
SMTS01256,SMSY00021
SMTS01257,SMSY00021
SMTS01296,SMSY00021
SMTS01302,SMSY00021
SMTS01318,SMSY00021
SMTS01358,SMSY00021
SMTS01637,SMSY00021
SMTS01712,SMSY00021
SMTS01776,SMSY00021
SMTS01811,SMSY00021
SMTS01839,SMSY00021
SMTS01840,SMSY00021
SMTS01843,SMSY00021
SMTS01912,SMSY00021
SMTS01913,SMSY00021
SMTS02061,SMSY00021
SMTS02236,SMSY00021
SMTS00019,SMSY00022
SMTS00037,SMSY00022
SMTS00038,SMSY00022
SMTS00039,SMSY00022
SMTS00040,SMSY00022
SMTS00359,SMSY00022
SMTS00360,SMSY00022
SMTS00361,SMSY00022
SMTS00364,SMSY00022
SMTS00371,SMSY00022
SMTS00377,SMSY00022
SMTS00379,SMSY00022
SMTS00449,SMSY00022
SMTS00450,SMSY00022
SMTS00521,SMSY00022
SMTS00522,SMSY00022
SMTS00611,SMSY00022
SMTS00968,SMSY00022
SMTS01043,SMSY00022
SMTS01056,SMSY00022
SMTS01135,SMSY00022
SMTS01156,SMSY00022
SMTS01170,SMSY00022
SMTS01191,SMSY00022
SMTS01204,SMSY00022
SMTS01205,SMSY00022
SMTS01247,SMSY00022
SMTS01248,SMSY00022
SMTS01254,SMSY00022
SMTS01256,SMSY00022
SMTS01257,SMSY00022
SMTS01296,SMSY00022
SMTS01302,SMSY00022
SMTS01318,SMSY00022
SMTS01358,SMSY00022
SMTS01637,SMSY00022
SMTS01712,SMSY00022
SMTS01776,SMSY00022
SMTS01811,SMSY00022
SMTS01839,SMSY00022
SMTS01840,SMSY00022
SMTS01843,SMSY00022
SMTS01912,SMSY00022
SMTS01913,SMSY00022
SMTS02061,SMSY00022
SMTS02236,SMSY00022
SMTS00521,SMSY00023
SMTS00522,SMSY00023
SMTS01204,SMSY00023
SMTS01205,SMSY00023
SMTS01248,SMSY00023
SMTS01254,SMSY00023
SMTS01256,SMSY00023
SMTS01257,SMSY00023
SMTS01318,SMSY00023
SMTS01912,SMSY00023
SMTS01913,SMSY00023
SMTS00267,SMSY00024
SMTS00343,SMSY00024
SMTS00344,SMSY00024
SMTS00352,SMSY00024
SMTS00354,SMSY00024
SMTS00359,SMSY00024
SMTS00360,SMSY00024
SMTS00361,SMSY00024
SMTS00364,SMSY00024
SMTS00365,SMSY00024
SMTS00366,SMSY00024
SMTS00367,SMSY00024
