Syndrome_id,Herb_id
SMSY00093,SMHB00062
SMSY00093,SMHB00061
SMSY00093,SMHB00210
SMSY00093,SMHB00465
SMSY00095,SMHB00366
SMSY00095,SMHB00426
SMSY00095,SMHB00087
SMSY00095,SMHB00364
SMSY00095,SMHB00075
SMSY00095,SMHB00058
SMSY00095,SMHB00660
SMSY00095,SMHB00445
SMSY00095,SMHB00120
SMSY00095,SMHB00541
SMSY00095,SMHB00542
SMSY00095,SMHB00566
SMSY00095,SMHB00493
SMSY00095,SMHB00308
SMSY00095,SMHB00256
SMSY00095,SMHB00217
SMSY00095,SMHB00679
SMSY00095,SMHB00453
SMSY00095,SMHB00207
SMSY00095,SMHB00580
SMSY00095,SMHB00188
SMSY00095,SMHB00251
SMSY00097,SMHB00147
SMSY00097,SMHB00253
SMSY00097,SMHB00310
SMSY00097,SMHB00029
SMSY00097,SMHB00260
SMSY00097,SMHB00351
SMSY00097,SMHB00297
SMSY00097,SMHB00482
SMSY00097,SMHB00070
SMSY00097,SMHB00185
SMSY00097,SMHB00392
SMSY00097,SMHB00040
SMSY00097,SMHB00311
SMSY00097,SMHB00455
SMSY00097,SMHB00512
SMSY00097,SMHB00384
SMSY00097,SMHB00687
SMSY00097,SMHB00548
SMSY00097,SMHB00547
SMSY00097,SMHB00596
SMSY00097,SMHB00580
SMSY00098,SMHB00035
SMSY00098,SMHB00003
SMSY00098,SMHB00010
SMSY00098,SMHB00048
SMSY00098,SMHB00131
SMSY00098,SMHB00385
SMSY00099,SMHB00303
SMSY00099,SMHB00394
SMSY00099,SMHB00496
SMSY00099,SMHB00497
SMSY00099,SMHB00010
SMSY00099,SMHB00131
SMSY00099,SMHB00234
SMSY00099,SMHB00526
SMSY00099,SMHB00364
SMSY00099,SMHB00075
SMSY00099,SMHB00491
SMSY00099,SMHB00402
SMSY00100,SMHB00001
SMSY00100,SMHB00019
SMSY00100,SMHB00028
SMSY00100,SMHB00035
SMSY00100,SMHB00050
SMSY00100,SMHB00064
SMSY00100,SMHB00118
SMSY00100,SMHB00128
SMSY00100,SMHB00133
SMSY00100,SMHB00146
SMSY00100,SMHB00181
SMSY00100,SMHB00216
SMSY00100,SMHB00220
SMSY00100,SMHB00221
SMSY00100,SMHB00222
SMSY00100,SMHB00230
SMSY00100,SMHB00231
SMSY00100,SMHB00251
SMSY00100,SMHB00273
SMSY00100,SMHB00285
SMSY00100,SMHB00298
SMSY00100,SMHB00301
SMSY00100,SMHB00319
SMSY00100,SMHB00353
SMSY00100,SMHB00436
SMSY00100,SMHB00446
SMSY00100,SMHB00490
SMSY00100,SMHB00495
SMSY00100,SMHB00498
SMSY00100,SMHB00011
SMSY00100,SMHB00173
SMSY00100,SMHB00202
SMSY00100,SMHB00402
SMSY00101,SMHB00554
SMSY00102,SMHB00402
SMSY00103,SMHB00623
SMSY00104,SMHB00486
SMSY00105,SMHB00201
SMSY00106,SMHB00364
SMSY00106,SMHB00075
SMSY00106,SMHB00481
SMSY00106,SMHB00566
SMSY00106,SMHB00669
SMSY00107,SMHB00028
SMSY00107,SMHB00061
SMSY00107,SMHB00062
SMSY00107,SMHB00146
SMSY00107,SMHB00147
SMSY00107,SMHB00210
SMSY00107,SMHB00220
SMSY00107,SMHB00303
SMSY00107,SMHB00319
SMSY00107,SMHB00491
SMSY00107,SMHB00495
SMSY00107,SMHB00465
SMSY00107,SMHB00398
SMSY00107,SMHB00500
SMSY00107,SMHB00110
SMSY00107,SMHB00364
SMSY00107,SMHB00075
SMSY00107,SMHB00674
SMSY00107,SMHB00170
SMSY00107,SMHB00546
SMSY00107,SMHB00549
SMSY00107,SMHB00566
SMSY00107,SMHB00262
SMSY00107,SMHB00628
SMSY00108,SMHB00489
SMSY00108,SMHB00128
SMSY00108,SMHB00319
SMSY00108,SMHB00181
SMSY00108,SMHB00035
SMSY00108,SMHB00091
SMSY00108,SMHB00364
SMSY00108,SMHB00075
SMSY00108,SMHB00446
SMSY00108,SMHB00694
SMSY00108,SMHB00216
SMSY00108,SMHB00220
